estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,756,16,"(100,)","(16,)",7,0.015917952170588237,6.777229598624519,"Trip_Count, Latencies"
1,756,16,"(100,)","(32,)",7,0.015917952170588237,6.777229598624519,"Trip_Count, Latencies"
2,756,16,"(100,)","(64,)",7,0.015960882411672796,6.759000775615236,"Trip_Count, Latencies, L1_BW"
3,756,16,"(100,)","(128,)",7,0.016085097758639706,6.7068051570936325,"Trip_Count, Latencies, L1_BW"
4,756,32,"(100,)","(16,)",7,0.01599923727647059,6.7427974681426885,"Trip_Count, Latencies"
5,756,32,"(100,)","(32,)",4,0.015022760805882353,7.1810779652271615,"Trip_Count, Latencies"
6,756,32,"(100,)","(64,)",4,0.015022760805882353,7.1810779652271615,"Trip_Count, Latencies"
7,756,32,"(100,)","(128,)",4,0.01510862128805147,7.14026876067876,"Trip_Count, Latencies, L1_BW"
8,756,16,"(100,)","(16,)",7,0.015917952170588237,6.777229598624519,"Trip_Count, Latencies"
9,756,16,"(100,)","(32,)",7,0.015917952170588237,6.777229598624519,"Trip_Count, Latencies"
10,756,16,"(100,)","(64,)",7,0.015960882411672796,6.759000775615236,"Trip_Count, Latencies, L1_BW"
11,756,16,"(100,)","(128,)",7,0.016085097758639706,6.7068051570936325,"Trip_Count, Latencies, L1_BW"
12,756,32,"(100,)","(16,)",7,0.01599923727647059,6.7427974681426885,"Trip_Count, Latencies"
13,756,32,"(100,)","(32,)",4,0.015022760805882353,7.1810779652271615,"Trip_Count, Latencies"
14,756,32,"(100,)","(64,)",4,0.015022760805882353,7.1810779652271615,"Trip_Count, Latencies"
15,756,32,"(100,)","(128,)",4,0.01510862128805147,7.14026876067876,"Trip_Count, Latencies, L1_BW"
16,992,16,"(512,)","(16,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
17,992,16,"(512, 512)","(1, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
18,992,16,"(512,)","(32,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
19,992,16,"(512, 512)","(1, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
20,992,16,"(512,)","(64,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
21,992,16,"(512, 512)","(1, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
22,992,16,"(512,)","(128,)",32,0.00018704442325367647,160.3897057081082,Trip_Count
23,992,16,"(512, 512)","(1, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
24,992,16,"(512,)","(256,)",32,0.00036894237591911764,81.31351115540284,Trip_Count
25,992,16,"(512, 512)","(1, 256)",16384,1.947466541963465e-05,1540.4629221385005,Compute
26,992,16,"(512,)","(512,)",32,0.00073273828125,40.9423129208182,Trip_Count
27,992,16,"(512, 512)","(1, 512)",16384,1.947466541963465e-05,1540.4629221385005,Compute
28,992,16,"(512, 512)","(2, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
29,992,16,"(512, 512)","(2, 16)",16384,1.947466541963465e-05,1540.4629221385005,Compute
30,992,16,"(512, 512)","(2, 32)",16384,1.947466541963465e-05,1540.4629221385005,Compute
31,992,16,"(512, 512)","(2, 64)",16384,1.947466541963465e-05,1540.4629221385005,Compute
32,992,16,"(512, 512)","(2, 128)",16384,1.947466541963465e-05,1540.4629221385005,Compute
33,992,16,"(512, 512)","(2, 256)",16384,1.947466541963465e-05,1540.4629221385005,Compute
34,992,16,"(512, 512)","(4, 4)",16384,1.947466541963465e-05,1540.4629221385005,Compute
35,992,16,"(512, 512)","(4, 8)",16384,1.947466541963465e-05,1540.4629221385005,Compute
